name,season,team,player,score,position,age,squad,goals,order,last
,,,Oscar Duarte,o,df,30,61,2,4,0
,,,Hector Moreno,o,df,31,123,4,5,0
,,,Francisco Calvo,o,df,27,66,4,5,0
,,,Carlos Salcedo,o,df,26,39,0,6,1
,,,Keysher Fuller,x,df,25,8,1,6,1
,2023,Canada vs USA,Steven Vitoria,x,df,36,54,5,1,0
,,,Brandon Vazquez,x,fw,25,8,4,1,0
,,,Liam Fraser,x,mf,25,39,0,2,0
,,,Cade Cowell,o,fw,20,9,1,2,0
,,,Kamal Miller,o,df,26,48,0,3,0
,,,Gianluca Busio,o,mf,21,16,1,3,0
,,,Jacen Russell-Rowe,o,fw,21,4,0,4,0
,,,Jesus Ferreira,o,fw,23,29,15,4,0
,,,Charles-Andreas Brym,x,fw,25,16,1,5,1
,,USA vs Panama,Jesus Ferreira,x,fw,23,29,15,1,0
,,,Fidel Escobar,o,df,28,83,3,1,0
,,,Djordje Mihailovic,o,mf,25,17,3,2,0
,,,Ismael Diaz,o,fw,26,38,9,2,0
,,,Jordan Morris,o,fw,29,66,11,3,0
,,,Cristian Martinez,x,mf,26,38,0,3,0
,,,Julian Gressel,o,mf,30,7,0,4,0
,,,Yoel Barcenas,o,fw,30,80,6,4,0
,,,Matt Miazga,o,df,28,45,1,5,0
,,,Cecilio Waterman,o,fw,32,38,8,5,0
,,,Cristian Roldan,x,mf,28,60,0,6,1
,,,Adalberto Carrasquilla,o,mf,25,46,1,6,1
Copa America,2016,Colombia vs Peru,James Rodriguez,o,mf,25,48,16,1,0
,,,Raul Ruidiaz,o,fw,26,30,3,1,0
,,,Juan Cuadrado,o,mf,28,64,6,2,0
,,,Renato Tapia,o,mf,21,15,0,2,0
,,,Dayro Moreno,o,fw,31,39,3,3,0
,,,Miguel Trauco,x,df,24,13,0,3,0
,,,Seba Perez,o,mf,23,9,1,4,1
,,,Christian Cueva,x,mf,25,30,3,4,1
,,Chile vs Argentina,Arturo Vidal,x,mf,29,85,17,1,0
,,,Lionel Messi,x,fw,29,119,55,1,0
,,,Nicolas Castillo,o,fw,23,12,1,2,0
,,,Javier Mascherano,o,mf,32,134,3,2,0
,,,Charles Aranguiz,o,mf,27,56,7,3,0
,,,Sergio Aguero,o,fw,28,93,33,3,0
,,,Jean Beausejour,o,df,32,96,6,4,0
,,,Lucas Biglia,x,mf,30,53,1,4,0
,,,Francisco Silva,o,mf,30,57,0,5,1
,2019,Uruguay vs Peru,Luis Suarez,x,fw,32,112,58,1,0
,,,Paolo Guerrero,o,fw,35,107,39,1,0
,,,Edinson Cavani,o,fw,32,121,48,2,0
,,,Raul Ruidiaz,o,fw,29,66,4,2,0
,,,Cristhian Stuani,o,fw,33,73,8,3,0
,,,Yoshimar Yotun,o,mf,29,100,3,3,0
,,,Rodrigo Bentancur,o,mf,22,24,0,4,0
,,,Luis Advincula,o,df,29,97,1,4,0
,,,Lucas Torreira,o,mf,23,20,0,5,1
,,,Edison Flores,o,fw,25,52,13,5,1
,,Colombia vs Chile,James Rodriguez,o,mf,28,77,22,1,0
,,,Arturo Vidal,o,mf,32,119,27,1,0
,,,Edwin Cardona,o,mf,27,47,5,2,0
,,,Eduardo Vargas,o,fw,30,93,38,2,0
,,,Juan Cuadrado,o,mf,31,93,8,3,0
,,,Erick Pulgar,o,mf,25,34,1,3,0
,,,Yerry Mina,o,df,25,29,6,4,0
,,,Charles Aranguiz,o,mf,30,85,7,4,0
,,,William Tesillo,x,df,29,19,1,5,1
,,,Alexis Sanchez,o,fw,31,131,43,5,1
,,Paraguay vs Brazil,Gustavo Gomez,x,df,26,46,3,1,0
,,,Willian,o,fw,31,75,9,1,0
,,,Miguel Almiron,o,fw,25,23,0,2,0
,,,Marquinhos,o,df,25,61,1,2,0
,,,Bruno Valdez,o,df,27,39,1,3,0
,,,Philippe Countinho,o,mf,27,63,16,3,0
,,,Rodrigo Rojas,o,mf,31,33,0,4,0
,,,Roberto Firmino,x,fw,28,48,12,4,0
,,,Derlis Gonzalez,x,fw,25,45,7,5,1
,,,Gabriel Jesus,o,fw,22,36,18,5,1
,2021,Colombia vs Uruguay,Duvan Zapata,o,fw,30,31,4,1,0
,,,Edinson Cavani,o,fw,34,130,53,1,0
,,,Davinson Sanchez,o,df,25,48,0,2,0
,,,Jose Maria Gimenez,x,df,26,74,8,2,0
,,,Yerry Mina,o,df,27,46,7,3,0
,,,Luis Suarez,o,fw,34,124,64,3,0
,,,Miguel Borja,o,fw,28,27,5,4,1
,,,Matias Vina,x,df,24,16,0,4,1
,,Paraguay vs Peru,Angel Romero,o,fw,29,39,9,1,0
,,,Gianluca Lapadula,o,fw,31,11,4,1,0
,,,Junior Alonso,o,df,28,50,2,2,0
,,,Yoshimar Yotun,o,mf,31,115,5,2,0
,,,David Martinez,x,df,23,6,0,3,0
,,,Santiago Ormeno,x,fw,27,6,0,3,0
,,,Braian Samudio,x,fw,26,16,1,4,0
,,,Renato Tapia,o,mf,26,67,4,4,0
,,,Piris da Motta,o,mf,27,14,0,5,0
,,,Christian Cueva,x,mf,30,84,11,5,0
,,,Alberto espinola,x,df,30,9,0,6,1
,,,Miguel Trauco,o,df,29,68,0,6,1
