name,season,team,player,score,position,age,goals,period,order,last
,,Bayern Munich vs Holstein Kiel,Robert Lewandowski,o,fw,32,452,7,1,0
,,,Hauke Wahl,o,df,26,12,7,1,0
,,,Joshua Kimmich,o,mf,25,40,6,2,0
,,,Ahmet Arslan,o,mf,26,99,1,2,0
,,,Thomas Muller,o,fw,31,252,15,3,0
,,,Janni Serra,o,fw,22,75,3,3,0
,,,David Alaba,o,df,28,44,13,4,0
,,,Jae-sung Lee,o,mf,28,48,3,4,0
,,,Douglas Costa,o,fw,30,66,3,5,0
,,,Niklas Hauptmann,o,mf,24,10,1,5,0
,,,Marc Roca,x,mf,24,9,1,6,1
,,,Fin Bartels,o,fw,33,92,4,6,1
,,Darmstadt vs Holstein Kiel,Marvin Mehlem,x,mf,23,30,4,1,0
,,,Hauke Wahl,x,df,26,12,7,1,0
,,,Serdar Dursun,o,fw,29,107,3,2,0
,,,Ahmet Arslan,o,mf,26,99,1,2,0
,,,Fabian Holland,o,df,30,22,7,3,0
,,,Janni Serra,o,fw,22,75,3,3,0
,,,Lukas Mai,o,df,20,9,1,4,0
,,,Finn Porath,o,mf,23,27,2,4,0
,,,Seung-ho Paik,o,mf,23,4,2,5,0
,,,Jae-sung Lee,o,mf,28,48,3,5,0
,,,Immanuel Hohn,o,df,29,17,5,6,0
,,,Fin Bartels,o,fw,33,92,4,6,0
,,,Mathias Honsak,x,fw,24,28,2,7,0
,,,Niklas Hauptmann,x,mf,24,10,1,7,0
,,,Nicolai Rapp,o,mf,24,9,2,8,0
,,,Mikkel Kirkeskov,o,df,29,4,1,8,0
,,,Tim Skarke,x,fw,24,12,2,9,1
,,,Simon Lorenz,o,df,23,22,1,9,1
,,Regensburg vs Koln,Rafael Czichos,o,df,30,46,3,1,0
,,,Erik Wekesser,o,df,23,44,2,1,0
,,,Salih Ozcan,o,mf,22,39,8,2,0
,,,Benedikt Gimber,o,df,23,9,2,2,0
,,,Tolu Arokodare,o,fw,20,22,1,3,0
,,,Andreas Albers,x,fw,30,124,2,3,0
,,,Jorge Mere,x,df,23,5,4,4,0
,,,Albion Vrenezi,o,mf,27,44,3,4,0
,,,Jannes Horn,x,df,23,1,3,5,1
,,,Max Besuschkow,o,mf,23,57,2,5,1
,2021-2022,Darmstadt vs 1860 Munich,Patric Pfeiffer,x,df,22,13,3,1,0
,,,Phillipp Steinhart,o,df,31,34,5,1,0
,,,Fabian Holland,o,df,31,25,8,2,0
,,,Erik Tallig,o,fw,21,23,3,2,0
,,,Fabian Schnellhardt,o,mf,27,51,3,3,0
,,,Dennis Dressel,o,mf,23,43,8,3,0
,,,Braydon Manu,o,fw,24,19,3,4,0
,,,Keanu Staude,o,fw,24,15,2,4,0
,,,Phillip Tietz,o,fw,24,76,1,5,1
,,,Stephan Salger,o,df,31,14,2,5,1
,,Greuther Furth vs Babelsberg,Julian Green,o,mf,26,76,5,1,0
,,,Daniel Frahn,o,fw,34,258,3,1,0
,,,Paul Seguin,o,mf,26,38,4,2,0
,,,Paul Wegener,o,mf,21,8,3,2,0
,,,Branimir Hrgota,x,fw,28,90,3,3,0
,,,Petar Lela,x,df,27,19,3,3,0
,,,Abdourahmare Barry,o,df,21,1,2,4,0
,,,Sven Reimann,o,mf,27,23,5,4,0
,,,Nunoo Sarpei,o,mf,23,1,4,5,0
,,,Jakub Moravec,o,mf,25,22,1,5,0
,,,Maximilian Bauer,x,df,21,11,5,6,1
,,,David Danko,o,mf,29,15,4,6,1
,,Mainz vs Elversberg,Moussa Niakhate,o,df,25,10,4,1,0
,,,Luca Schnellbacher,o,fw,27,96,3,1,0
,,,Kevin Stoger,o,mf,28,30,2,2,0
,,,Robin Fellhauer,o,mf,23,10,3,2,0
,,,Jean-Paul Boetius,o,mf,27,53,4,3,0
,,,Fabian Baumgartel,o,df,32,30,3,3,0
,,,Jonathan Burkardt,o,fw,21,45,7,4,0
,,,Patryck Dragon,o,mf,25,12,4,4,0
,,,Daniel Brosinski,o,df,33,52,8,5,0
,,,Kevin Conrad,o,df,31,12,3,5,0
,,,Aaron Marin,o,df,24,2,4,6,0
,,,Charles-Elie Laprevotte,o,mf,29,10,1,6,0
,,,Jerry St. Juste,o,df,25,13,3,7,0
,,,Felix Muller,o,fw,28,23,1,7,0
,,,Anton Stach,o,mf,23,21,1,8,1
,,,Laurin von Piechowski,x,df,27,12,3,8,1
,,Carl Zeiss vs Koln,Maximilian Oesterhelweg,x,mf,31,61,2,1,0
,,,Tim Lemperle,o,fw,19,30,5,1,0
,,,Leon Burger,x,mf,22,8,1,2,0
,,,Louis Schaub,o,mf,27,80,3,2,0
,,,Vasilios Dedidis,o,fw,21,28,6,3,0
,,,Jan Thielmann,o,fw,19,35,5,3,0
,,,Rene Lange,o,mf,33,26,3,4,1
,,,Ondrej Duda,o,mf,27,44,2,4,1
,,Nuremberg vs Hamburger SV,Johannes Geis,o,mf,28,40,3,1,0
,,,David Kinsombi,o,mf,26,30,3,1,0
,,,Taylan Duman,o,mf,24,37,1,2,0
,,,Sonny Kittel,o,mf,28,88,3,2,0
,,,Lino Tempelmann,x,mf,22,9,1,3,0
,,,Sebastian Schonlau,o,df,27,17,1,3,0
,,,Asger Sorensen,x,df,25,10,3,4,1
,,,Jonas David,o,df,21,4,7,4,1
,,Augsburg vs Bochum,Jeffrey Gouweleeuw,o,df,30,20,7,1,0
,,,Elvis Rexhbecaj,o,mf,24,26,1,1,0
,,,Alfred Fimbogason,o,fw,32,156,7,2,0
,,,Erhan Masovic,o,df,23,1,2,2,0
,,,Tobias Strobl,o,mf,31,16,2,3,0
,,,Danny Blum,o,fw,30,51,3,3,0
,,,Michael Gregoritsch,o,fw,27,79,5,4,0
,,,Sebastian Polter,o,fw,30,139,1,4,0
,,,Arne Maier,x,mf,22,12,1,5,1
,,,Manuel Riemann,o,gk,33,2,7,5,1
,,Regensburg vs Hansa Rostock,Erik Wekesser,o,df,24,45,3,1,0
,,,Bentley Baxter Bahn,o,mf,29,53,3,1,0
,,,Carlo Boukhalfa,o,mf,22,25,1,2,0
,,,Ryan Malone,o,df,29,34,1,2,0
,,,Andreas Albers,x,fw,31,133,3,3,0
,,,Hanno Behrens,o,mf,31,65,1,3,0
,,,Leon Guwara,x,df,25,7,1,4,1
,,,Pascal Breier,o,fw,29,170,5,4,1
,,Hamburger SV vs Koln,David Kinsombi,o,mf,26,30,3,1,0
,,,Salih Ozcan,x,mf,23,42,9,1,0
,,,Sonny Kittel,x,mf,28,88,3,2,0
,,,Anthony Modeste,o,fw,33,173,6,2,0
,,,Mario Vuskovic,o,df,20,5,1,3,0
,,,Dejan Ljubicic,o,mf,24,15,1,3,0
,,,Jan Gyamerah,o,df,26,6,3,4,0
,,,Ondrej Duda,o,mf,27,44,2,4,0
,,,Sebastian Schonlau,o,df,27,17,1,5,1
,,,Florian Kainz,x,mf,29,68,4,5,1
,,Karlsruher vs Hamburger SV,Jerome Gondorf,o,mf,33,39,3,1,0
,,,Srbastian Schonalu,x,df,27,17,1,1,0
,,,Philip Heise,o,df,30,15,2,2,0
,,,Josha Vagnoman,o,df,21,20,6,2,0
,,,Marvin Wanitzek,x,mf,28,55,5,3,0
,,,mario Vuskovic,o,df,20,5,1,3,0
,,,Ricardo van Rhijn,x,df,30,14,1,4,0
,,,Robert Glatzel,o,fw,27,109,1,4,0
,,,Daniel O'Shaughnessy,x,df,27,14,1,5,1
,,Leipzig vs Freiburg,Christopher Nkunku,o,mf,24,57,3,1,0
,,,Nils Petersen,o,fw,33,188,8,1,0
,,,Willi Orban,o,df,29,48,7,2,0
,,,Christian Gunter,x,df,28,14,14,2,0
,,,Dani Olmo,o,mf,23,53,3,3,0
,,,Keven Schlotterbeck,o,df,24,15,4,3,0
,,,Benjamin Henrichs,o,df,24,24,2,4,1
,,,Ermedian Demirovic,x,fw,23,71,2,4,1
,2022-2023,Regensburg vs Koln,Charalambos Makridis,o,fw,26,33,4,1,0
,,,Dejan Ljubicic,o,mf,25,20,2,1,0
,,,Maximilian Thalhammer,o,mf,25,16,1,2,0
,,,Jeff Chabot,x,df,24,12,2,2,0
,,,Benedikt Saller,x,df,30,24,7,3,0
,,,Linton Maina,o,fw,23,31,1,3,0
,,,Aygun Yildirim,o,fw,27,74,2,4,0
,,,Jan Thielmann,o,fw,20,37,6,4,0
,,,Benedikt Gimber,o,df,25,13,5,5,1
,,,Kingsley Ehizibue,x,df,27,12,4,5,1
,,Hertha BSC vs Braunschweig,Vladimir Darida,o,mf,32,50,8,1,0
,,,Immanuel Pherai,o,mf,21,40,1,1,0
,,,Jonjoe Kenny,o,df,25,8,1,2,0
,,,Jan-Hendrick Marx,o,df,27,10,2,2,0
,,,Marvin Plattenhardt,x,df,30,15,9,3,0
,,,Jannis Nikolau,o,mf,29,31,3,3,0
,,,Steven Jovetic,o,fw,33,114,2,4,0
,,,Anton Donkor,x,df,25,49,1,4,0
,,,Chidera Ejuke,o,fw,24,38,1,5,0
,,,Brian Behrendt,o,df,31,23,3,5,0
,,,Ivan Sunjic,o,mf,26,15,1,6,0
,,,Robin Kraube,o,mf,28,23,2,6,0
,,,Marc Oliver Kempf,x,df,27,39,2,7,1
,,,Bryan Henning,o,mf,27,20,2,7,1
,,Mannheim vs Holstein Kiel,Bentley Baxter Bahn,o,mf,30,62,1,1,0
,,,Patrick Erras,o,mf,27,20,2,1,0
,,,Alexander Rossipal,o,df,26,11,2,2,0
,,,Marco Komenda,o,df,26,9,3,2,0
,,,Stefano Russo,o,mf,22,9,3,3,0
,,,Marvin Schulz,x,mf,27,48,1,3,0
,,,Pascal sohm,o,fw,31,74,2,4,0
,,,Kwasi Wriedt,o,fw,28,161,2,4,0
,,,Fridolin Wagner,o,mf,25,42,2,5,1
,,Sandhausen vs Karlsruher,Philipp Ochs,o,fw,25,58,1,1,0
,,,Marvin Wanitzek,o,mf,29,66,6,1,0
,,,Cebio Soukou,o,fw,30,76,2,2,0
,,,Jerome Gondorf,o,mf,34,41,4,2,0
,,,Merveille Papela,o,mf,21,16,1,3,0
,,,Philip Heise,o,df,31,19,3,3,0
,,,Janik Bachmann,o,mf,26,20,3,4,0
,,,Tim Breithaupt,o,mf,20,3,6,4,0
,,,Marcel Ritzmaier,o,mf,29,38,2,5,0
,,,Simone Rapp,o,fw,30,107,1,5,0
,,,Dario Dumic,o,df,30,20,2,6,0
,,,Mikkel Kaufmann,o,fw,21,40,1,6,0
,,,Immanuel Hohn,o,df,31,20,2,7,0
,,,Kyoung-rok Choi,o,mf,27,39,5,7,0
,,,Ahmed Kutucu,o,fw,22,50,2,8,1
,,,Marcel Franke,x,df,29,17,1,8,1
,,Werder Bremen vs Paderborn,Niclas Fullkrug,o,fw,29,143,10,1,0
,,,Robert Leipertz,o,mf,29,113,1,1,0
,,,Milos Veljkovic,o,df,27,7,8,2,0
,,,Julian Justvan,o,mf,24,58,3,2,0
,,,Niklas Schmidt,o,mf,24,59,7,3,0
,,,Florent Muslija,o,fw,24,45,2,3,0
,,,Ilia Gruev,o,mf,22,11,7,4,0
,,,Dennis Srbeny,o,fw,28,98,5,4,0
,,,Leonardo Bittencourt,x,mf,29,75,4,5,1
,,,Richmond Tachie,o,fw,23,63,1,5,1
,,Nuremberg vs Dusseldorf,Johannes Geis,o,mf,29,40,4,1,0
,,,Florian Kastenmeier,o,gk,25,0,4,1,0
,,,Taylan Duman,o,mf,25,39,2,2,0
,,,Christoph Klarer,o,df,22,10,3,2,0
,,,Jan Gyamerah,o,df,27,7,1,3,0
,,,Jorrit Hendrix,o,mf,27,10,1,3,0
,,,Christopher Schindler,o,df,32,16,2,4,0
,,,Jona Niemiec,x,fw,21,3,2,4,0
,,,Erik Shauranov,o,fw,20,42,5,5,1
Coppa Italia,2020-2021,Pescara vs SN Noataresco,Fabio Maistro,o,mf,22,10,1,1,0
,,,Mattia Frulla,o,mf,28,23,2,1,0
,,,Ledian Memushaj,o,mf,34,51,6,2,0
,,,Michele Cesario,o,fw,26,4,1,2,0
,,,Christian Capone,x,mf,21,41,3,3,0
,,,Nicolo Cancelli,x,fw,20,6,3,3,0
,,,Damir Ceter,o,fw,23,25,1,4,0
,,,Lorenzo Bianciardi,o,mf,25,10,1,4,0
,,,Cristian Galano,o,fw,29,93,2,5,0
,,,Pablo Banegas,o,fw,28,76,1,5,0
,,,Raoul Bellanova,o,mf,20,6,1,6,0
,,,Gabriel Colombatti,o,df,30,5,1,6,0
,,,Christian Ventola,o,mf,23,11,5,7,0
,,,Isaia Lattarulo,o,mf,22,10,1,7,0
,,,Stephane Omeonga,x,mf,24,1,1,8,0
,,,Giovanni Blando,x,mf,19,1,3,8,0
,,,Pawel Jaroszynski,o,mf,26,1,1,9,0
,,,Matteo Gallo,o,df,21,2,2,9,0
,,,Gennaro Scognamiglio,o,df,33,36,3,10,1
,,,Matteo Sorrini,x,df,18,0,2,10,1
,,Catanzaro vs Chievo Verona,Massimiliano Carlini,o,fw,34,39,2,1,0
,,,Luca Palmiero,x,mf,24,9,1,1,0
,,,Davis Curiale,o,fw,33,26,1,2,0
,,,Manuel De Luca,o,fw,22,7,1,2,0
,,,Brian Bayeye,x,df,20,0,2,3,0
,,,Jonathan Morsay,o,fw,23,8,2,3,0
,,,Luca Martinelli,o,df,32,6,2,4,0
,,,Sergei Grubac,o,fw,20,0,3,4,0
,,,Paride Pinna,o,df,28,12,2,5,0
,,,Vasile Mogos,o,df,28,14,1,5,0
,,,Desiderio Garufo,o,mf,33,18,1,6,0
,,,Michele Rigione,o,df,29,3,2,6,0
,,,Giacomo Casoli,o,mf,32,23,3,7,0
,,,Emauele Zuelli,o,mf,19,1,5,7,0
,,,Luca Verna,o,mf,27,6,1,8,1
,,,Julian Illanes,x,df,23,1,1,8,1
,,Monopoli vs Reggiana,Mario Mercadante,o,df,25,7,6,1,0
,,,Marcos espeche,o,df,35,5,2,1,0
,,,Domenico Santoro,o,fw,25,8,1,2,0
,,,Bright Gyamfi,o,df,24,4,1,2,0
,,,Alvaro Montero,o,fw,31,2,1,3,0
,,,Mattia Marchi,o,fw,31,12,2,3,0
,,,Eyob Zambataro,x,mf,22,3,1,4,0
,,,Salvatore Pezzella,x,mf,20,17,1,4,0
,,,Lorenzo Paolucci,x,mf,24,17,3,5,1
,,,Igor Radrezza,o,mf,27,22,2,5,1
,,SPAL vs SSC Bari,Salvatore Esposito,o,mf,20,8,3,1,0
,,,Mirco Antenucci,o,fw,36,48,2,1,0
,,,Marko Jankovic,o,mf,25,21,3,2,0
,,,Manuel Marras,o,fw,27,48,1,2,0
,,,Sergio Floccari,x,fw,39,43,5,3,0
,,,Leonardo Candellone,x,fw,23,21,1,3,0
,,,Sebastiano Esposito,o,fw,18,47,1,4,0
,,,Alessandro Minelli,x,df,21,1,1,4,0
,,,Nenad Tomovic,o,df,33,6,2,5,1
,,Monza vs Calcio,Andrea D'Errico,o,mf,28,58,4,1,0
,,,Mirko Stefani,x,df,36,33,3,1,0
,,,Davide Frattesi,o,mf,21,33,1,2,0
,,,Michele Camporse,x,df,28,11,2,2,0
,,,Giuseppe Bellusci,o,df,31,10,2,3,0
,,,Manuel Scavone,o,mf,33,46,1,3,0
,,,Antonino Barilla,o,mf,32,41,1,4,1
,,SPAL vs Crotone,Salvatore esposito,o,mf,20,16,3,1,0
,,,Luca Siligardi,o,fw,32,72,1,1,0
,,,Simone Missiroli,o,mf,34,44,3,2,0
,,,Giovanni Crociata,x,mf,23,14,4,2,0
,,,Marco Sala,x,df,21,5,1,3,0
,,,Salvatore Molina,o,mf,28,17,3,3,0
,,,Sebastiano Esposito,o,fw,18,47,1,4,0
,,,Vladimir Golemic,o,df,29,17,3,4,0
,,,Luca Ranieri,o,df,21,1,1,5,1
,,,Luca Cigarini,x,mf,34,27,1,5,1
,,Venezia vs Hellas Verona,Marco Modolo,x,df,31,23,6,1,0
,,,Darko Lazovic,o,mf,30,50,1,1,0
,,,Dennis Johnsen,x,fw,22,30,1,2,0
,,,Antonin Barak,o,mf,26,43,1,2,0
,,,Luca Fiordilino,o,mf,24,7,2,3,0
,,,Ebrima Colley,o,fw,20,32,1,3,0
,,,Alessandro Capello,x,fw,25,68,2,4,1
,,Torino vs AC Milan,Andrea Belotti,o,fw,27,150,6,1,0
,,,Franck Kessie,o,mf,24,40,4,1,0
,,,Sasa Lukic,o,mf,24,11,5,2,0
,,,Theo Hernandez,o,df,23,19,2,2,0
,,,Lyanco,o,df,23,2,4,3,0
,,,Sandro Tonali,o,mf,20,18,1,3,0
,,,Tomas Rincon,x,mf,32,11,4,4,0
,,,Alessio Romagnoli,o,df,25,14,6,4,0
,,,Vanja Milinkovic-savic,o,gk,23,0,2,5,1
,,,Hakan Calhanoglu,o,mf,26,89,4,5,1
,2021-2022,Calcio vs Venezia,Camilo Ciano,o,fw,31,152,5,1,0
,,,Arnor Sigurdsson,o,fw,22,18,1,1,0
,,,Raffaele Maiello,x,mf,30,29,6,2,0
,,,Daan Heymans,o,mf,22,14,1,2,0
,,,Francesco Zampano,o,df,28,7,4,3,0
,,,Francesco Di Mariano,o,fw,25,41,4,3,0
,,,Pietro lemmello,o,fw,29,134,2,4,0
,,,Tanner Tessmann,x,mf,20,1,1,4,0
,,,Mattia Vitale,o,mf,24,6,3,5,0
,,,Antonio Junior Vacca,o,mf,31,12,3,5,0
,,,Nicolo Brighenti,o,df,32,10,6,6,0
,,,Pietro Ceccaroni,o,df,26,14,3,6,0
,,,Prezemyslaw Szyminski,o,df,27,9,3,7,0
,,,Dennis Johnsen,o,fw,23,34,2,7,0
,,,Alessio Zerbin,o,fw,22,40,1,8,0
,,,Mattia Caldara,o,df,27,21,1,8,0
,,,Federico Gatti,x,df,23,9,1,9,1
,,,Tyrone Ebuehi,o,df,26,2,1,9,1
,,Torino vs Cremonese,Rolando Mandragora,o,mf,24,11,2,1,0
,,,Daniel Ciofani,x,fw,36,198,3,1,0
,,,Simone Verdi,o,mf,29,58,5,2,0
,,,Luca Vido,o,fw,24,59,1,2,0
,,,Nicola Rauti,o,fw,21,64,6,3,0
,,,Michele Castagnetti,x,mf,32,20,4,3,0
,,,Ola Aina,o,df,25,6,3,4,1
,,Brescia Calcio vs Crotone,Riad Bajic,o,fw,27,81,1,1,0
,,,Salvatore Molina,o,mf,29,17,4,1,0
,,,Stefano Moreo,x,fw,28,49,1,2,0
,,,Ahmad Benali,o,mf,29,45,5,2,0
,,,Emanuele Ndoj,x,mf,25,18,5,3,0
,,,Vasile Mogos,o,df,29,30,1,3,0
,,,Nikolas Spalek,o,fw,24,35,5,4,1
,,,Milos vulic,o,mf,25,20,2,4,1
,2022-2023,Sampdoria vs Calcio,Manolo Gabbiadini,o,fw,31,113,7,1,0
,,,Eric Botteghin,o,df,35,43,2,1,0
,,,Gonzalo Villar,x,mf,24,4,1,2,0
,,,Mirko Eramo,o,mf,33,35,4,2,0
,,,Filip Djuricic,o,mf,30,46,3,3,0
,,,Nicola Falasco,x,df,29,6,2,3,0
,,,Francesco Caputo,x,fw,35,191,2,4,0
,,,Cedric Gondo,o,fw,26,78,1,4,0
,,,Valerio Verre,o,mf,28,38,5,5,0
,,,Fabrizio Caligara,x,mf,22,10,3,5,0
,,,Tommaso Augello,o,df,28,6,4,6,0
,,,Marcello Falzerano,o,mf,31,35,1,6,0
,,,Andrea Conti,o,df,28,20,2,7,0
,,,Soufiane Bidaoui,o,fw,32,31,3,7,0
,,,Mehdi Leris,o,fw,24,31,3,8,0
,,,Francesco Donati,o,df,21,2,1,8,0
,,,Nicola Murru,o,df,28,1,5,9,0
,,,Danilo Quaranta,o,df,25,1,3,9,0
,,,Alex Ferrari,o,df,28,3,5,10,0
,,,Aliaz Tavcar,o,df,22,1,2,10,0
,,,Nikita Contini,o,gk,26,0,1,11,1
,,,Enrico Guarna,x,gk,37,0,2,11,1
,,Napoli vs Cremonese,Matteo Politano,o,fw,29,84,4,1,0
,,,Johan Vasquez,o,df,24,6,1,1,0
,,,Giovanni Simeone,o,fw,27,91,1,2,0
,,,Cristian Buonaiuto,o,fw,30,52,3,2,0
,,,Piotr Zielinski,o,mf,28,58,7,3,0
,,,Frank Tsadjout,o,fw,23,44,1,3,0
,,,Stanislav Lobotka,x,mf,28,8,4,4,0
,,,Emanuele Valeri,o,df,24,15,3,4,0
,,,Victor Osimhen,o,fw,24,98,3,5,1
,,,Felix Afena-Gyan,o,fw,19,19,1,5,1
Coupe de France,2020-2021,Fleury vs Annecy,Enxo Bovis,o,df,26,1,4,1,0
,,,Steven Pinto Borges,o,mf,34,11,2,1,0
,,,Zotsara,o,mf,26,12,3,2,0
,,,Maxence Chapuis,o,df,26,11,3,2,0
,,,Sadibou Sylla,x,fw,29,30,3,3,0
,,,Migouel Alfarela,o,fw,23,32,3,3,0
,,,Thomas Gamiette,o,mf,34,17,3,4,0
,,,Jordan Adeoti,o,mf,31,11,1,4,0
,,,Noui Laifa,o,mf,34,19,5,5,1
,,,Julien Perez,o,gk,27,0,6,5,1
,,Monatagnarde vs Briochin,Theo Bloudeau,x,mf,28,24,4,1,0
,,,Devon Romil,x,fw,24,8,3,2,0
,,,Kevin Simon,x,df,29,5,4,3,0
,,,Rafiki said,o,fw,20,14,1,4,0
,,,Benjamin Angoua,o,df,34,9,1,5,1
,,Cap-Ferret vs Aubagne,Matheo Eppert,x,mf,23,5,1,1,0
,,,Florian Galley,o,mf,26,0,2,1,0
,,,Quentin Valadie,o,fw,22,1,1,2,0
,,,Tony Patrao,o,fw,34,41,1,2,0
,,,Cheikh Tidiane Samb,x,df,26,3,2,3,0
,,,Atif Khannous,o,mf,24,1,2,3,0
,,,Jordan Mignon,o,mf,28,16,3,4,1
,,,Mamadou Savane,o,df,24,1,1,4,1
,,Vallieres vs Mezieres,Dorian Leveque,o,df,31,4,1,1,0
,,,Gabriel Dezothez,o,mf,20,4,1,1,0
,,,Ousmane Diaby,o,df,32,3,1,2,0
,,,Theo Jaspierre,x,mf,23,0,2,2,0
,,,Ferhat Yuce,x,mf,25,3,2,3,0
,,,Hamza El Goundoul,x,mf,21,2,1,3,0
,,,Stephane Viglierchio,o,mf,31,5,2,4,0
,,,Matthieu Houlot,o,fw,31,10,4,4,0
,,,Vincent Di Stefano,o,df,27,3,2,5,1
,,Canet Rous vs Stade Poitevin,Jeremy Posteraro,o,mf,29,3,2,1,0
,,,Leo Matignon,o,mf,24,2,2,1,0
,,,Chris Lybohy,o,mf,26,1,2,2,0
,,,Cesar Neto,x,mf,21,1,2,2,0
,,,Glenn Mbimba,o,df,26,1,1,3,0
,,,Jordan Cuvier,x,fw,26,21,2,3,0
,,,Raphael Pioton,x,fw,25,9,1,4,0
,,,Marly Rampont,o,df,20,1,1,4,0
,,,Toufik Ouadoudi,o,mf,25,6,1,5,1
,,Chamalieres vs Le Puy Foot,Exauce Ngassaki,o,fw,23,18,1,1,0
,,,Loic Dufau,o,mf,31,9,4,1,0
,,,Corentin Leymonie,x,df,27,0,1,2,0
,,,Lenny Joseph,o,fw,20,3,2,2,0
,,,Matthieu Tressy,o,mf,25,2,3,3,0
,,,Hassimi Fadiga,o,mf,23,1,1,3,0
,,,Ludgero Porcheron,o,fw,23,18,1,4,0
,,,Lucas Pellegrini,o,df,20,0,1,4,0
,,,Julien Barras,o,df,22,0,3,5,1
,,,Alexy Bosetti,o,fw,27,51,1,5,1
,,Annecy vs Vallieres,Romuald Marie,o,df,32,6,2,1,0
,,,Mathieu Guillaud,o,mf,31,8,1,1,0
,,,Romain Spano,x,fw,26,32,2,2,0
,,,Ousmane Diaby,o,df,32,3,1,2,0
,,,Nicolas Poulain,x,mf,27,18,5,3,0
,,,Dorian Leveque,o,df,31,4,1,3,0
,,,Migouel Alfarela,o,fw,23,32,3,4,0
,,,Jocelyn Gay,x,mf,20,0,2,4,0
,,,Jordan Adeoti,o,mf,31,11,1,5,0
,,,Nikola Volic,x,fw,27,14,2,5,0
,,,Ahmed Kashi,o,mf,32,7,2,6,0
,,,Ashley Moke Ndedi,o,fw,28,11,1,6,0
,,,Alexandre Fillon,o,mf,25,4,4,7,0
,,,Alexi Peuget,o,mf,30,11,1,7,0
,,,Cory Sene,x,df,19,2,1,8,1
,,,Houssame Boinali,o,df,24,1,2,8,1
,,Saumur vs Montagnarde,Arnaud Billeaux,x,mf,35,5,2,1,0
,,,Bovid Itoua Ngoua,x,df,32,2,3,2,0
,,,Ronan Touzet,o,df,23,0,2,3,0
,,,Artur Viaud,o,mf,21,0,1,4,0
,,,Wail Bouhoutt,o,fw,29,17,2,5,0
,,,Quentin Bacha,o,fw,29,5,2,6,1
,,FC Metz vs Monaco,Pape Matar Sarr,o,mf,18,3,1,1,0
,,,Wissam Ben Yedder,o,fw,30,170,2,1,0
,,,Papa Ndiaga Yade,o,fw,20,9,2,2,0
,,,Kevin Volland,o,fw,28,146,1,2,0
,,,Thierry Ambrose,o,fw,23,38,2,3,0
,,,Djibril Sidibe,o,df,28,18,5,3,0
,,,Habib Maiga,x,mf,24,6,3,4,0
,,,Cesc Fabregas,o,mf,33,124,3,4,0
,,,Dylan Bronn,o,df,25,14,2,5,1
,,,Stevan Jovetic,o,fw,31,102,4,5,1
,,Red Star vs Olympique Lyon,Pape Meissa Ba,o,fw,23,10,1,1,0
,,,Bruno Guimaraes,o,mf,23,11,2,1,0
,,,Damien Durand,o,fw,25,17,1,2,0
,,,Lucas Paqueta,o,mf,23,26,1,2,0
,,,Alan Dzabana,o,fw,23,31,1,3,0
,,,Marcelo,o,df,33,35,4,3,0
,,,Diego Michel,x,mf,23,9,2,4,0
,,,Jason Denayer,o,df,25,11,3,4,0
,,,Cheikh NDoye,o,mf,34,58,1,5,1
,,,Karl Toko Ekambi,o,fw,28,112,2,5,1
,,Montpellier vs PSG,Teji Savanier,o,mf,29,43,2,1,0
,,,Angel Di Maria,o,fw,32,148,6,1,0
,,,Andy Delort,o,fw,29,105,3,2,0
,,,Julian Draxler,o,fw,27,87,5,2,0
,,,Stephy Mavididi,o,fw,22,54,1,3,0
,,,Leandro Parades,o,mf,26,23,3,3,0
,,,Mihailo Ristic,o,df,25,11,3,4,0
,,,Marquinhos,o,df,26,28,8,4,0
,,,Gaetan Laborde,o,fw,26,79,3,5,0
,,,Neymar,o,fw,28,270,4,5,0
,,,Junior Sambia,x,df,24,12,4,6,1
,,,Moise Kean,o,fw,20,72,1,6,1
,2021-2022,AS Vitre vs AS Panazol,Thomas Parada,o,df,25,0,1,1,0
,,,Eliott Sorin,o,mf,28,8,6,2,0
,,,Abdoul Sakirou Bila,x,fw,29,34,1,3,0
,,,Jordan Lebacle,o,mf,29,12,6,4,0
,,,Jocelyn Laurent,o,df,26,2,1,5,1
,,Nancy-Lorriane vs Troyes,Andrew Jung,o,fw,24,58,1,1,0
,,,Adil Rami,o,df,36,31,1,1,0
,,,Neil El Aynaoui,o,mf,20,2,2,2,0
,,,Hyun-jun Suk,x,fw,30,63,5,2,0
,,,Giovanni Haag,o,mf,21,5,3,3,0
,,,Brandon Dominques,o,mf,21,13,4,3,0
,,,Warren Bondo,o,mf,18,3,2,4,1
,,,Yasser Larouci,x,df,20,2,1,4,1
,,Sochaux vs FC Nantes,Samy Faraj,o,mf,20,9,3,1,0
,,,Roli Pereira de Sa,o,mf,25,12,3,1,0
,,,Malcolm Viltard,o,mf,19,5,3,2,0
,,,Samuel Moutoussamy,o,mf,25,6,3,2,0
,,,Maxime Do Couto,o,fw,25,12,1,3,0
,,,Srbastien Corchia,o,df,31,16,2,3,0
,,,MArvin Senaya,o,df,20,0,1,4,0
,,,Marcus Coco,o,fw,25,10,3,4,0
,,,Christophe Diedhiou,x,df,33,11,3,5,1
,,,Nicolas Pallois,o,df,34,16,3,5,1
,,Dijon vs AS Cannes,Alex Dobre,o,fw,23,13,2,1,0
