name,season,team,player,score,position,age,goals,period,order,last
,,,David Stockdale,o,gk,36,0,3,4,0
,,,Jonathan Grounds,x,df,33,6,1,5,0
,,,Olly Pendlebury,o,mf,20,2,1,5,0
,,,James Dodd,x,mf,21,0,1,6,1
,,Shrewsbury vs Lincoln City,Eliiot Bennett,o,mf,33,9,1,1,0
,,,Anthony Scully,o,mf,22,22,2,1,0
,,,Geroge Nurse,o,df,22,2,1,2,0
,,,Tom Hopper,x,fw,28,13,2,2,0
,,,David Davis,o,mf,30,10,2,3,0
,,,Max Sanders,o,mf,22,1,2,3,0
,,,Josh Vela,x,mf,28,8,2,4,0
,,,Lewis Fiorini ,x,mf,19,6,1,4,0
,,,Tom Bloxham,o,fw,18,2,2,5,1
,,Derby vs Salford City,Graeme Shinnie,o,mf,30,6,3,1,0
,,,Josh Morris,o,mf,30,7,1,1,0
,,,Colin Kazim-Richards,o,fw,35,31,2,2,0
,,,Luke Burgess,x,mf,22,3,2,2,0
,,,Jordan Brown,o,df,20,1,2,3,0
,,,Ibou Touray,o,df,27,1,2,3,0
,,,Craig Forsyth,o,df,32,7,9,4,0
,,,Matthew Lund,o,fw,31,19,1,4,0
,,,Louie Watson,o,mf,20,0,2,5,1
,,Walsall vs Doncaster,Conor Wilkinson,o,fw,26,22,1,1,0
,,,Dan Gardner,x,mf,31,4,1,1,0
,,,Kieran Phillips,o,mf,21,6,1,2,0
,,,Ben Close,o,mf,25,4,1,2,0
,,,Emmanuel Osadebe,x,mf,25,6,2,3,0
,,,Tiago Cukur,x,fw,19,1,1,3,0
,,,Jack Earing,x,mf,22,4,1,4,0
,,,Ed Williams,x,mf,26,0,2,4,0
,,,Brendan Kiernan,x,mf,29,9,1,5,0
,,,Aidan Barlow,o,mf,21,1,1,5,0
,,,Stephen Ward,o,df,36,11,1,6,0
,,,Tom Anderson,o,df,28,3,2,6,0
,,,Liam Kinsella,x,mf,25,0,2,7,1
,,,Kyle Knoyle,o,df,25,3,1,7,1
,,Tranmere vs Oldham,Jay Spearing,o,mf,33,12,2,1,0
,,,Sam Hart,o,df,25,1,1,1,0
,,,Paul Glatzel,x,fw,20,4,1,2,0
,,,Davis Keillor-Dunn,o,mf,24,25,2,2,0
,,,Kieron Morris,o,mf,27,10,2,3,0
,,,Kyle Jameson,x,df,23,2,2,3,0
,,,Peter Clarke,x,df,39,11,2,4,0
,,,Jack Stobbs,o,mf,24,2,1,4,0
,,,Emmanuel Dieseruvwe,o,fw,27,0,1,5,1
,,,Nicky Adams,o,mf,35,1,2,5,1
,,Hull vs Wigan,Tom Eaves,o,fw,29,14,3,1,0
,,,Will Keane,o,fw,28,44,3,1,0
,,,James Scott,o,fw,21,6,3,2,0
,,,Thelo Aasgaard,o,mf,19,4,2,2,0
,,,Harry Wood,o,mf,19,0,2,3,0
,,,Jordan Jones,o,mf,27,4,1,3,0
,,,Joshua Emmanuel,o,df,24,0,2,4,0
,,,Gavin Massey,o,mf,29,6,4,4,0
,,,Matt Smith,o,mf,22,1,1,5,0
,,,Tom Naylor,o,df,30,16,1,5,0
,,,William Jarvis,o,fw,19,0,1,6,0
,,,Jamie Jones,o,mf,27,4,1,6,0
,,,Brandon Fleming,o,df,22,0,4,7,0
,,,Luke Robinson,o,df,20,0,2,7,0
,,,Di'shen Bernard,x,df,21,2,1,8,1
,,,Jordan Cousins,o,mf,27,8,1,8,1
,,Luton vs Stevenage,Harry Cornick,x,fw,26,22,3,1,0
,,,Chris Lines,o,fw,36,6,2,1,0
,,,Carlos Gomes,x,fw,23,16,1,2,0
,,,Luther Wildin,o,df,24,2,2,2,0
,,,Dion Pereira,x,fw,22,1,2,3,1
,,,Jake Reeves,o,mf,28,2,1,3,1
,,Forest Green vs Bristol City,Jamille Matt,x,fw,32,43,2,1,0
,,,Kasey Palmer,x,mf,25,14,4,1,0
,,,Jake Young,o,mf,20,9,2,2,0
,,,Han-Noah Massengo,o,mf,20,0,3,2,0
,,,Regan Hendry,o,mf,23,4,1,3,0
,,,Nahki Wells,o,fw,31,83,3,3,0
,,,Ebou Adams,o,mf,25,6,2,4,0
,,,Tommy Conway,o,mf,19,1,2,4,0
,,,Nicky Cadden,o,df,25,10,2,5,0
,,,Tyreeq Bakinson,o,mf,23,5,2,5,0
