date,호기,total,mean,max,min,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-03-21,1,79959,3332,9276,0,9276,102,8957,9276,6759,2887,550,0,102,0,130,1200,870,323,908,2137,3029,2750,1963,1768,3475,6882,7537,7477,6553,4426
2020-03-22,1,96557,4023,9634,81,9634,81,7580,5823,2922,727,733,648,728,569,136,81,246,2472,1030,881,2148,3812,4921,7190,8201,8980,9387,8686,9020,9634
2020-03-23,1,149740,6239,9630,1289,9630,1289,9630,7845,9104,7574,8358,8584,7035,5735,4111,2693,2862,1449,1289,1997,3189,5320,7511,8227,6924,7306,8647,9258,7968,7124
2020-03-24,1,62395,2600,8633,0,8633,1,6929,5070,8633,7508,6616,6527,6752,4820,3899,1783,273,98,490,729,576,668,612,302,109,0,0,0,1,0
2020-03-25,1,28097,1171,2322,0,2322,60,0,175,155,295,561,790,1221,1449,2106,2252,1221,1556,2006,2091,2322,2004,1648,1712,1355,934,645,60,351,1188
2020-03-26,1,85617,3567,8671,331,8671,331,1433,1390,1312,331,362,467,1257,1997,2087,2751,3567,7656,7997,5805,3938,8428,3463,2473,2206,5019,4301,4290,8671,4416
2020-03-27,1,165541,6898,9914,0,9914,21,3686,5307,4371,461,0,21,1411,2538,5672,5988,8101,9815,9823,9870,9824,9877,9859,9616,9759,9911,9897,9906,9914,9913
2020-03-28,1,152874,6370,10004,1384,10004,1384,9999,9999,10004,10000,9991,9941,9266,8011,7626,7236,6235,4585,3386,1965,1384,3104,4215,2988,5318,7237,7441,5569,3885,3489
2020-03-29,1,25577,1066,4330,8,4330,8,4330,1910,1748,1358,1073,1544,948,1320,1533,1526,1375,1103,649,666,849,779,358,615,716,8,237,545,252,135
2020-03-30,1,22044,919,2380,175,2380,175,225,707,369,298,175,655,785,895,1029,1600,1732,2380,1886,1414,1233,1237,1045,965,420,343,328,375,721,1227
2020-03-31,1,35027,1459,4669,0,4669,1,1393,2040,2233,2028,1709,1669,1455,1177,1361,1764,2181,1427,780,977,883,433,621,211,1,0,482,2603,2930,4669
2020-04-01,1,202899,8454,9894,3560,9894,3560,3560,7507,7994,8302,9617,9586,9854,9894,8201,8077,9587,9134,6772,7899,8997,8580,9862,9793,8770,7071,6936,8190,8836,9879
2020-04-02,1,77759,3240,9996,0,9996,164,9837,9996,8897,9528,8515,6789,5594,4147,2573,2358,1456,1237,1501,1235,524,267,164,0,0,0,0,662,1177,1302
2020-04-03,1,78251,3260,8693,669,8693,669,778,708,1041,1341,4691,1646,3592,5629,3444,5473,2877,1291,1128,669,1081,1430,1751,2257,3186,4719,8693,6979,7010,6835
2020-04-04,1,145377,6057,9908,0,9908,967,3977,2458,2550,2452,5901,9521,8711,7462,5321,6610,8451,967,0,0,1630,5401,6925,7738,9822,9871,9898,9901,9902,9908
2020-04-05,1,150196,6258,9989,0,9989,338,9983,9989,9986,9685,9415,8713,5703,6728,5437,6923,5878,5146,338,0,0,2468,6598,6091,5121,3066,6240,8888,8837,8963
2020-04-06,1,78365,3265,8504,2,8504,2,8504,8090,7001,5526,4176,4745,5263,5474,3114,2741,1766,819,1315,1302,1089,399,253,156,2,370,1384,3383,6716,4777
2020-04-07,1,109962,4582,8414,1509,8414,1509,8414,4205,1509,6048,7037,5921,6055,5697,4982,5415,5719,4340,3967,4406,4440,4873,4511,4315,3664,3326,2492,2875,2181,3570
2020-04-08,1,136229,5676,9840,2832,9840,2832,2832,4788,5508,4156,4169,5645,8460,9840,9411,9206,9237,7987,5628,4581,4612,5186,4838,4893,4571,5576,5295,3842,3080,2888
2020-04-09,1,82927,3455,6390,588,6390,588,2796,3155,3457,3077,2365,3491,4731,3801,3181,1128,1150,588,1594,3512,3651,5685,4671,3703,4502,3458,4153,3428,5262,6390
2020-04-10,1,60083,2503,7388,0,7388,3,6669,6524,4630,4454,7388,4366,6319,5462,2719,1593,1000,1143,1296,1276,1132,815,1002,1339,336,0,0,3,355,262
2020-04-11,1,22301,929,3618,0,3618,7,27,0,0,0,0,7,232,44,354,416,652,701,381,345,257,28,190,1519,3037,3618,3108,2916,2488,1980
2020-04-12,1,107247,4469,7519,1391,7519,1391,1946,2191,1591,1391,3249,2551,2948,3675,3869,3637,4371,5092,4559,4831,3996,4754,5747,6563,4825,7301,6414,6928,7519,7302
2020-04-13,1,132640,5527,7894,1476,7894,1476,6097,4018,4152,4252,2895,1754,1476,2549,4234,5289,7178,7396,7894,7760,7760,7808,7827,7820,6999,7022,6456,5466,4442,4096
2020-04-14,1,31757,1323,4998,0,4998,12,4998,4312,3401,2992,2874,2494,1746,1490,1286,1074,780,588,780,725,549,562,483,333,123,61,28,66,12,0
2020-04-15,1,3844,160,462,0,462,12,0,104,403,310,0,127,398,171,12,0,34,0,411,18,173,462,123,0,315,0,211,108,116,348
2020-04-16,1,22877,953,2107,0,2107,1,162,851,369,423,266,110,38,0,0,1,266,727,1605,1751,1021,1341,1510,1969,1635,1534,1439,2107,1970,1781
2020-04-17,1,123693,5154,9224,1121,9224,1121,3457,3357,3816,4795,5794,6447,1833,1301,2971,3179,6925,7548,5092,5479,7688,7483,1121,1426,3593,5820,9001,8889,9224,7455
2020-04-18,1,86939,3622,8719,0,8719,590,5555,3175,2001,1845,1408,1922,884,3324,8719,8314,7458,5045,5072,0,0,590,6196,5831,5600,5397,4692,3260,651,0
2020-04-19,1,85485,3562,8111,2,8111,2,2,22,2,373,1956,3242,3426,3601,3590,5741,7001,7938,8071,7190,8111,6818,3956,1419,958,374,403,1954,3903,5432
2020-04-20,1,114895,4787,8974,1167,8974,1167,5156,6281,5927,6865,6477,4550,4629,6149,5957,2918,1713,1167,1706,3163,3308,3911,2058,2550,3470,4924,7349,7538,8974,8155
2020-04-21,1,129896,5412,8863,1196,8863,1196,5609,3798,5170,4942,1196,4947,7864,5440,5629,6886,7607,8781,6676,2897,8863,8763,7986,6817,4279,4753,4402,3321,1859,1411
2020-04-22,1,100289,4179,9373,0,9373,913,1302,1495,1643,1268,989,1324,2153,3372,4755,913,0,0,0,0,6098,9373,9064,8893,8991,8418,8420,8452,7816,5550
2020-04-23,1,102343,4264,9236,0,9236,1170,5741,7955,7798,5708,6240,3110,3276,4832,6039,7927,8243,9236,7342,0,0,0,0,4294,4355,2542,1170,1451,2673,2411
2020-04-24,1,49732,2072,6017,0,6017,431,1515,1408,1692,1615,2482,2375,1436,1793,2309,2124,1714,1919,1677,1386,1258,3202,4181,4058,1788,548,0,431,2804,6017
2020-04-25,1,109439,4560,9155,0,9155,1465,6239,6462,7040,6876,7942,7972,5968,5833,7755,2582,0,0,0,0,0,1465,9155,7148,6822,4389,6673,7252,1866,0
2020-04-26,1,47792,1991,6972,0,6972,16,156,37,625,2372,6820,5866,5968,6972,1786,0,0,0,0,0,228,307,16,703,651,369,2571,3799,4276,4270
2020-04-27,1,50847,2119,5126,0,5126,496,3434,3204,5126,4795,2123,1747,1792,1341,1157,1701,1560,1698,1720,0,668,1234,2105,1963,1391,496,720,2631,4552,3689
2020-04-28,1,54514,2271,6050,44,6050,44,2104,3326,4986,4368,4899,5445,6050,3660,2388,1769,1928,1446,1122,816,848,970,1001,741,416,44,683,1727,1651,2126
2020-04-29,1,36235,1510,5047,0,5047,36,2866,1476,655,1060,1079,444,0,0,0,0,36,40,298,647,215,1844,2532,2366,2150,1910,3161,3703,4704,5047
2020-04-30,1,120306,5013,9716,0,9716,36,5885,5338,2326,908,1655,668,893,1947,3151,5187,5701,0,0,36,9104,8181,8555,6640,7838,9055,9536,8984,9716,9004
2020-05-01,1,169740,7073,9743,1969,9743,1969,9134,9464,9417,8539,5895,7531,9718,9198,7457,8344,8110,8521,9689,9743,7613,5717,8331,4579,2332,2006,2242,1969,6026,8165
2020-05-02,1,104217,4342,8436,1766,8436,1766,8436,7681,7451,7564,6670,3270,4462,3540,2553,2492,2738,3820,3744,3663,4403,3837,3749,3389,4249,3686,3397,4357,3300,1766
2020-05-03,1,49830,2076,7133,0,7133,75,1497,5181,3005,1900,2536,5232,3666,5203,7133,5605,3868,1540,435,0,184,247,245,327,75,0,175,702,815,259
2020-05-04,1,76834,3201,8602,210,8602,210,358,210,222,431,586,1896,1680,2746,3567,2692,6295,5556,2148,1008,2836,3719,3038,5176,8602,7389,8104,4973,2258,1344
2020-05-05,1,10582,441,1647,0,1647,30,1647,192,0,0,149,30,0,0,0,0,170,382,606,1202,1240,937,311,77,500,659,1324,490,164,502
2020-05-06,1,30326,1264,4066,0,4066,95,403,292,0,95,468,111,606,1204,719,650,1262,1468,3295,3553,3050,4066,1225,831,844,463,803,1105,2015,1800
2020-05-07,1,61072,2545,5588,0,5588,1088,2101,1145,1088,1680,1789,2823,3219,1745,2291,4038,5112,5588,1330,0,3129,3583,2688,2235,2709,1881,2646,2688,2729,2835
2020-05-08,1,89871,3745,9851,0,9851,230,891,1286,1119,1284,473,230,348,309,419,576,461,644,4540,0,0,5624,9077,8418,8241,8128,8926,9298,9728,9851
